nombre,localidad,direccion,telefono,email,web,gps_lat,gps_lon,rrss,servicios,url_ficha,slug,descripcion
Bodegas Cortijo De Jara,Jerez de la Frontera,"Carretera 4011 Km 5,2 (Carretera de Gibalbín), Jerez de la Frontera",+34 956 338 163,,https://cortijodejara.es/,36.853580212156,-6.0658558266171,https://www.facebook.com/cortijodejara | https://www.instagram.com/cortijodejara,Visita a bodega | Tienda de vinos (calle Medina) | Eventos | Aparcamiento privado (finca),https://rutadelvinojerez.es/empresas-y-servicios/bodegas-cortijo-de-jara,bodegas-cortijo-de-jara,"Cortijo de Jara es la marca bajo la que se comercializan los productos de una familia dedicada a la agricultura tradicional, que quiere acercarse a los consumidores con productos sanos y naturales. La vid y el olivo ocupan una buena extensión de la finca Jara. Del cortijo mencionado en tiempos de Alfonso X como Xara, y su construcción propia de su agricultura, se ha intentado mantener la estructura fundamental, sin más añadidos que los necesarios para su nuevo destino. Las variedades escogidas para la siembra del viñedo (Tempranillo, Merlot y Syrah) dan una calidad excepcional, sin estar sometidas a los bruscos cambios de clima, siendo la calidad de sus producciones muy uniforme. Sus cosechas están en producción integrada, sometidas a un intenso control en el uso de pesticidas. Los tintos están certificados con la Indicación Geográfica Vinos de la Tierra de Cádiz. Los blancos, con variedades Gewurztraminer unen calidad y originalidad. La existencia de 110 hectáreas de olivar y la posibilidad de catar su propio aceite son un aliciente más para su visita. Además, cuenta con una tienda en la Calle Medina donde poder probar y comprar sus productos."
Bodegas Delgado Zuleta,Sanlúcar de Barrameda,"Avenida Rocío Jurado s/n, Sanlúcar de Barrameda",+34 956 332 050,visitas@delgadozuleta.com,https://www.delgadozuleta.com/,36.768330091549,-6.3589648894878,https://twitter.com/delgadozuleta | https://www.facebook.com/DelgadoZuleta | https://www.instagram.com/delgadozuleta | https://www.youtube.com/user/DelgadoZuleta,Visita a bodega,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-delgado-zuleta,bodegas-delgado-zuleta,"Delgado Zuleta es una de las bodegas más antiguas del Marco de Jerez. Fundada en 1744 por Don Francisco Gil de Ledesma, se sitúa en Sanlúcar de Barrameda, entorno de Doñana. Sus prestigiosas Manzanillas, entre ellas las afamadas La Goya y Barbiana, se crían con la influencia del Río Guadalquivir, las Marismas y el Océano, que conforman un microclima adecuado. Llena de tradición y cultura, Bodega Delgado Zuleta se alza majestuosa ante un jardín de viñedos para deleite de sus visitantes, donde conocerán de primera mano la viticultura del Marco de Jerez. En el recorrido por la bodega, el visitante conoce en extensión la producción de los vinos del Marco de Jerez en general y de la Manzanilla en particular, conociendo sus mejores rincones. Además, con su Centro de Interpretación del Vino, único en la región, Delgado Zuleta abre sus puertas a un nuevo concepto de visita bodeguera, donde el vino puede disfrutarse con todos los sentidos."
Bodegas Dios Baco,Jerez de la Frontera,"Calle Huerta Pintada s/n. 11402, Jerez de la Frontera",+34 956 333 337,,https://bodegasdiosbaco.com/,36.681819854895,-6.1295082741453,https://es-es.facebook.com/bodegasdiosbaco | https://www.instagram.com/bodegasdiosbaco_spain/,"Visita guiada con cata de 5 sherrys | Vinos y tapas en el tabanco de Baco | Visita a viñedo | Celebración de eventos | Para grupos y eventos, siempre bajo reserva: Visitar un viñedo con cata de tintos de la tierra. Almuerzo o cena maridaje con guiso típico de la tierra. Espectáculos como flamenco o relacionados con el carnaval. Talleres de actividades típicas bodegueras como venenciar o en jornada de vendimia se hacen elaboraciones artesanas de vino incluyendo la pisada de la uva. Seminarios y talleres de cocina con Vino de Jerez. Taller de arqueología relacionada con el Vino de Jerez. Visitar una ganadería de toros bravos/caballos andaluces. | Visitar un viñedo con cata de tintos de la tierra. | Almuerzo o cena maridaje con guiso típico de la tierra. | Espectáculos como flamenco o relacionados con el carnaval. | Talleres de actividades típicas bodegueras como venenciar o en jornada de vendimia se hacen elaboraciones artesanas de vino incluyendo la pisada de la uva. | Seminarios y talleres de cocina con Vino de Jerez. | Taller de arqueología relacionada con el Vino de Jerez. | Visitar una ganadería de toros bravos/caballos andaluces.",https://rutadelvinojerez.es/empresas-y-servicios/bodegas-dios-baco,bodegas-dios-baco,"Los orígenes de la Bodega se remontan al año 1765. A principios del siglo XX, se fundó la mítica firma Palomino & Vergara, por los señores jerezanos Don Juan Vergara y Don Juan Palomino. En 1992 Don José Páez Morilla, actual propietario de las bodegas, adquiere la firma y crea Bodegas Dios Baco, S.L. con la intención de introducirse en el difícil mundo del Jerez con sus productos de una inmejorable calidad, producción limitada y volviendo a los orígenes de su fundación. Las bodegas formaban parte de un complejo de doce bodegas llamado “Los Doce Discípulos” por ser el mismo número de Apóstoles de Cristo. En la actualidad, sólo quedan tres cascos de Bodegas: Bodega de Baco, Bodega de la Cruz y Bodega de extracción. Dentro de las instalaciones de la Bodega Dios Baco se encuentra un tabanco típico jerezano con vino a granel, un salón para eventos con capacidad para 150 personas, varios salones para reuniones o eventos…"
Bodegas Díez Mérito,Jerez de la Frontera,"Calle Diego Fernández de Herrera, 4, Jerez de la Frontera",+34 956 332 973,,https://diezmerito.com/,36.6807159,-6.1323771,https://twitter.com/DiezMerito | https://www.facebook.com/Di%C3%A9z-M%C3%A9rito-208575919224840/?fref=ts | https://www.instagram.com/bodegadiezmerito/,Visita a bodega y degustación de 5 vinos | Visita a bodega y tapas | 200 años de historia en tu copa,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-diez-merito,bodegas-diez-merito,"La historia de la Bodega Díez Mérito nace hace doscientos años y transcurre paralela a la propia historia de los vinos y brandys jerezanos. Esta casa vinatera conserva uno de los cascos más emblemáticos de Jerez, Bodega Bertemati, edificio majestuoso de 1730 que debe su nombre a uno de sus primeros dueños el Marqués de Misa. Su magnífica ubicación en el centro de Jerez, su estructura abovedada y sus espléndidos arcos constituyen un marco inigualable para el envejecimiento de sus exquisitos vinos y brandys. Durante la visita a la bodega se disfrutará de un recorrido por sus patios, jardines y estancias donde sumergirse en la historia de la crianza y envejecimiento de los vinos y brandys de Jerez. Allí se podrá oler y sentir la fuerza de uno de los vinos más antiguos del mundo, el prestigioso Fino Imperial cuya solera y criaderas datan de 1876. Además, la Bodega dispone de varias estancias para la celebración de todo tipo de eventos: presentaciones de productos, banquetes, cenas de gala, conferencias, etc. También dispone de dos patios de diferentes capacidades, un salón abovedado con capacidad para 300 personas, una sacristía y jardines de estilo francés."
Bodegas Espinosa De Los Monteros,Jerez de la Frontera,"Calle Einstein F2, 11407, Jerez de la Frontera",+34 956 300 503,,https://www.bodegasespinosadelosmonteros.com/,36.7108209,-6.1189881,https://www.instagram.com/bgas_espinosa_de_los_monteros/,Despacho de vinos | Eventos y celebraciones | Catas guiadas,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-espinosa-de-los-monteros,bodegas-espinosa-de-los-monteros,"En Bodegas Espinosa de los Monteros se combinan vinos y guitarras, artes que conforman una simbiosis única en el mundo. Su objetivo no es otro que acercar y compartir sus vinos con vida propia a aquellas personas que buscan conocer de primera mano los vinos de Jerez con alma propia… Los visitantes podrán descubrir mediante clases magistrales el proceso de crianza y envejecimiento de Jerez, degustando una cata guiada de vinos extraídos directamente de la bota de forma amena con la que experimentar la bodega con los cincos sentidos."
Bodegas Forlong,El Puerto de Santa María,"Carretera de Jerez-Rota Km 6, 11500 El Puerto de Santa María",+34 648 124 443,,https://bodegadeforlong.com/,36.66313375497,-6.2575028606552,https://twitter.com/bodegadeforlong | https://www.facebook.com/forlongwine | https://www.instagram.com/forlongwine/,"Visita a bodega con cata de 3 vinos (1,5h de duración)",https://rutadelvinojerez.es/empresas-y-servicios/bodegas-forlong,bodegas-forlong,"Bodegas Forlong tiene sus instalaciones en el Puerto de Santa María, en una finca conocida como El Olivar de Forlón. Alejandro y Rocío tomaron el nombre y le añadieron la letra “g” al final. Querían con ello expresar que la iniciativa que emprendían era con el ánimo de que perdurase en el futuro: “for a long time” (“para un largo tiempo”). Junto a la bodega tienen una parcela con uva Palomino y Pedro Ximénez de una hectárea. Junto a la misma cuentan con 2,6 hectáreas de la variedad autóctona Tintilla de Rota. Los suelos son de Albariza, los de mejor calidad de esta zona. En Bodegas Forlong se practica una viticultura ecológica y cuenta con el certificado del Comité de Agricultura Ecológica tanto por el viñedo como por la elaboración posterior. No se lleva la biodinámica a rajatabla, aunque se utilizan algunos de los peculiares preparados de esta curiosa forma de concebir el trabajo en la viña. Sólo se emplean levaduras autóctonas. El proyecto de Bodegas Forlong es renovador, es un soplo de aire fresco en la atmósfera de los vinos gaditanos. Ese carácter se refleja en las propias etiquetas, todas ellas con atractivos diseños que dan un aire de juventud que tanto necesita el mundo del vino."
Bodegas Fundador,Jerez de la Frontera,"Calle Puerta de Rota s/n, 11408, Jerez de la Frontera",+34 956 151 552,,https://brandyfundador.com/,36.682972936414,-6.1457481183272,https://es-es.facebook.com/BodegasFundador/ | https://www.instagram.com/brandyfundador_es/ | https://www.tiktok.com/@brandyfundador,Visita especial a la Bodega La Mezquita con degustación de vinos y brandies | Visita “Pasión por el chocolate” | Visita con degustación y tapas | Visita y menú maridaje,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-fundador,bodegas-fundador,"Visitar y recorrer algunas de las Bodegas más antiguas del marco de Jerez es una experiencia única. El marco arquitectónico, la armonía de sus edificaciones, sus jardines, patios y su entorno invita a retroceder en el tiempo y sumergirse en el romanticismo del Jerez del siglo XVIII. En el marco de Jerez, bodegas Fundador fueron fundadas en 1730, y forman parte de la Compañía Nº 1 de Brandies en el Mundo, Grupo Emperador. En el año 2005 fueron reconocidas por la International Wine and Spirits Competition como la Mejor Bodega del Año. Dentro del amplio portafolio de marcas y vinos de brandies de Jerez elaboradas en estas Bodegas, destaca Harveys, vino de Jerez más vendido en el mundo y de los más premiados a nivel internacional, Fundador, marca de Brandy más internacional y la gama de Brandies de Terry, los más afamados del mercado nacional. En Bodegas Fundador todo está preparado con protocolos garantizados para el disfrute de la visita. Para completar la experiencia, dispone de un restaurante dentro de las Bodegas, donde maridar su moderna gastronomía con las mejores marcas de Brandy y Vino, así como su amplia coctelería. SELLO VERDE ‘TURISMO ACCESIBLE’ (2024). Cumple entre el 55% y el 90% de los indicadores de accesibilidad, tanto básicos como específicos, incluyendo aquellos de obligatorio cumplimiento. Sello otorgado por la Cátedra de Turismo Inclusivo y Accesible de la Universidad de Cádiz. Proyecto financiado por la Diputación de Cádiz."
Bodegas González Byass – Tío Pepe,Jerez de la Frontera,"Calle Manuel Mª González, 12, Jerez de la Frontera",+34 956 357 000,,https://www.tiopepe.com/es-es/validate,36.6812828,-6.1412532,http://instagram.com/bodegastiopepe | https://twitter.com/bodegastiopepe | https://www.facebook.com/tiopepe | https://www.youtube.com/channel/UCHGWJKsncjdoXrdd19PXGaw/featured,Visita a bodega con degustación de vinos | Catas | Visita Deluxe,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-gonzalez-byass-tio-pepe,bodegas-gonzalez-byass-tio-pepe,"Las Bodegas Tío Pepe cuentan con un Conjunto Monumental de Bodegas, Patios y Calles interiores que datan de 1835, además de jardines catalogados de Históricos. Este conjunto se encuentra enclavado junto al Alcázar de Jerez, en el centro de la ciudad. Durante la visita a la bodega, además de aprender el proceso de elaboración y envejecimiento del Brandy y vino de Jerez, se contemplan bodegas con diferente arquitectura, impresionantes patios y calles interiores emparradas. Además, se conoce la historia de D. Manuel Mª González Ángel, Fundador de las Bodegas González Byass y del famoso Tío Pepe. La primera parte de la visita, la “Ruta del Brandy”, se realiza en un cómodo trenecito y comienza la visita en la Real Bodega de La Concha, diseñada por Gustavo Eiffel para después llegar a la Viña San Manuel, el único viñedo jerezano en el interior de la Bodega. La visita incluye las Bodegas del Brandy, la antigua tonelería y la Gran Bodega del Tío Pepe, coronada por la Gran Veleta Tío Pepe, las más grande del mundo según el libro Guinness de los récords. La “Ruta del Vino” comienza por la Bodega de La Cuadrada y nos lleva a los cascos bodegueros más antiguos, la Bodega de Los Apóstoles, donde se admirarán botas de 12.000 litros de capacidad y la bota conocida como “el Cristo” de 33.000 litros de vino. Cruzando la emparrada Calle Unión se llegará a las Bodegas La Constancia y Bodega Los Reyes, que datan del 1857 y reúnen todo un museo de botas firmadas de visitas ilustres que se han recibido durante toda la historia de González Byass. Horarios y tarifas: www.tiopepe.com *Hotel Bodega Tío Pepe, Premio al «Mejor alojamiento enoturístico» en los VI Premios de Enoturismo de Rutas del Vino de España."
Bodegas Gutiérrez Colosía,El Puerto de Santa María,"Avenida Bajamar, 40, El Puerto de Santa María",+34 956 852 852,,http://www.gutierrezcolosia.com/,36.5924475,-6.22854,https://es-es.facebook.com/gutierrezcolosia/ | https://instagram.com/gutierrezcolosia,"Visitas a la bodega con degustación de 6 vinos: Fino, Amontillado, Oloroso, Cream, Moscatel y Pedro Ximénez | Despacho de vinos",https://rutadelvinojerez.es/empresas-y-servicios/bodegas-gutierrez-colosia,bodegas-gutierrez-colosia,"Gutiérrez Colosía es una bodega familiar que se fundó en 1838. Hasta no hace mucho fue una bodega Almacenista, elaboraba vinos DO Jerez, pero no podía venderlos embotellados, por lo que los vendía a otras bodegas. No es hasta 1998 cuando se deciden a comercializar sus propios vinos. Es entonces cuando empiezan a conquistar paladares exigentes. La bodega se encuentra situada en la margen izquierda del río Guadalete, lo cual aporta a la bodega y a sus vinos un carácter inimitable. En la visita a la bodega los visitantes podrán descubrir la elaboración de su amplia gama de vinos DO Jerez, además de una gama de vinos Solera Familiar con más de 40 años, pues nadie sabe con exactitud cuando se empezaron a envejecer estos vinos. Durante la visita se podrá observar la relación de esta bodega con el mundo marinero y sus brandies: Brandy Solera Reserva Americo Vespucci y Brandy Solera Gran Reserva Juan Sebastian Elcano. A todo este abanico de sabores y posibilidades de maridaje no le falta uno de los productos imprescindibles en la cocina, el Vinagre de Jerez. Gutierrez Colosía, con su carácter familiar, es una bodega que no dejará indiferente a nadie."
Bodegas Halcón,Lebrija,"Calle Adán y Eva 4, 41740 Lebrija – Sevilla",+34 616 671 212,,https://www.bodegashalcon.es/,36.9201885,-6.0806244,https://twitter.com/BodegasHalcon | https://www.facebook.com/bodegashalconoficial/ | https://www.instagram.com/bodegas_halcon/,Visita a bodega | Despacho de vinos | Degustación de vinos,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-halcon,bodegas-halcon,"Bodegas Halcón (antes Bodegas Marqués de San Gil), está estratégicamente situada en el núcleo histórico de Lebrija, limitando su extensa superficie con el trazado de la muralla almohade, con la monumental iglesia de Santa María de la Oliva y con vistas a la plaza de América. Aunque las primeras referencias de esta Casa-Bodega son del siglo XVIII, es a mediados del siglo XIX cuando se reforman los cascos bodegueros adquiriendo la configuración actual. En esta bodega con orientación hacía Sanlúcar de Barrameda, muy próxima al Coto de Doñana, es donde se crían durante largo tiempo los vinos: Finos, Amontillados, Olorosos, Creams y vinos dulces de alta graduación, siguiendo procesos de crianza biológica y crianza oxidativa, en el sistema de criaderas y soleras. Algunas de sus principales marcas son Amontillado Bigotillo, Cream Conchita o Fino El Marqués. En Bodegas Halcón se disfruta de la historia, de patios andaluces y preciosos jardines, cuyas esencias se enredan con los profundos y centenarios aromas de la bodega. Tradición e historia se funden en sus viejas botas, educan al vino joven y lo convierten, a través del tiempo, en vinos generosos de una extraordinaria calidad."
